RMSE,MAE,Sparsity,Adjusted_RMSE,Adjusted_MAE,Precision@10,Recall@10,F1@10,MAP@10,MRR@10,NDCG@10,Diversity,Coverage,Novelty,PopularityBias,Num_Samples,Dataset,Method
1.0188811704409861,0.7995600845767733,0.9830003169443864,2.033011338748797,1.5855279011318217,0.06721311475409836,0.011924338041493142,0.0178484878397991,0.03927010148321623,0.32767369242779076,0.35865391743500086,0.4045563735865756,0.0010264832683227264,10.922770440696539,0.22941176470588376,27659,Small,Cf
1.0188811704409861,0.7995600845767733,0.9830003169443864,2.033011338748797,1.5855279011318217,0.06721311475409836,0.011924338041493142,0.0178484878397991,0.03927010148321623,0.32767369242779076,0.35865391743500086,0.4045563735865756,0.0010264832683227264,10.922770440696539,0.22941176470588376,27659,Small,Cb
1.0188811704409861,0.7995600845767733,0.9830003169443864,2.033011338748797,1.5855279011318217,0.06721311475409836,0.011924338041493142,0.0178484878397991,0.03927010148321623,0.32767369242779076,0.35865391743500086,0.4045563735865756,0.0010264832683227264,10.922770440696539,0.22941176470588376,27659,Small,Weighted Avg
1.0188811704409861,0.7995600845767733,0.9830003169443864,2.033011338748797,1.5855279011318217,0.06721311475409836,0.011924338041493142,0.0178484878397991,0.03927010148321623,0.32767369242779076,0.35865391743500086,0.4045563735865756,0.0010264832683227264,10.922770440696539,0.22941176470588376,27659,Small,Feature Combo
1.0188811704409861,0.7995600845767733,0.9830003169443864,2.033011338748797,1.5855279011318217,0.06721311475409836,0.011924338041493142,0.0178484878397991,0.03927010148321623,0.32767369242779076,0.35865391743500086,0.4045563735865756,0.0010264832683227264,10.922770440696539,0.22941176470588376,27659,Small,Mixed
1.1104050947366675,0.9277587939550835,0.9553163743776871,2.2112861768401793,1.8140619612932696,0.057947019867549666,0.0064639596973795534,0.010664695493174418,0.03931987806159991,0.30726637233259746,0.31096969546726294,0.3782405749682958,0.0025753283543651817,11.319212366045424,0.17877801879970764,191991,1M,Cf
1.1104050947366675,0.9277587939550835,0.9553163743776871,2.2112861768401793,1.8140619612932696,0.057947019867549666,0.0064639596973795534,0.010664695493174418,0.03931987806159991,0.30726637233259746,0.31096969546726294,0.3782405749682958,0.0025753283543651817,11.319212366045424,0.17877801879970764,191991,1M,Cb
1.1104050947366675,0.9277587939550835,0.9553163743776871,2.2112861768401793,1.8140619612932696,0.057947019867549666,0.0064639596973795534,0.010664695493174418,0.03931987806159991,0.30726637233259746,0.31096969546726294,0.3782405749682958,0.0025753283543651817,11.319212366045424,0.17877801879970764,191991,1M,Weighted Avg
1.1104050947366675,0.9277587939550835,0.9553163743776871,2.2112861768401793,1.8140619612932696,0.057947019867549666,0.0064639596973795534,0.010664695493174418,0.03931987806159991,0.30726637233259746,0.31096969546726294,0.3782405749682958,0.0025753283543651817,11.319212366045424,0.17877801879970764,191991,1M,Feature Combo
1.1104050947366675,0.9277587939550835,0.9553163743776871,2.2112861768401793,1.8140619612932696,0.057947019867549666,0.0064639596973795534,0.010664695493174418,0.03931987806159991,0.30726637233259746,0.31096969546726294,0.3782405749682958,0.0025753283543651817,11.319212366045424,0.17877801879970764,191991,1M,Mixed
